Error,elementray charge e,Planck's constant h,electron mass m_e,Proton radius r_p,Rydberg constant R_H,Permittivity of free space ε_0,Speed of Light c,Fine-structure constant alpha
0.000546619,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973742.54,8.85E-12,299792757.8,0.00729736
0.000536619,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973731.57,8.85E-12,299792458,0.007297353
0.000532617,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973720.59,8.85E-12,299792158.2,0.00729736
0.000528615,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973709.62,8.85E-12,299791858.4,0.007297367
0.000522615,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973720.59,8.85E-12,299791558.6,0.007297374
0.000512615,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973709.62,8.85E-12,299791858.4,0.007297367
0.000500612,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973698.65,8.85E-12,299791558.6,0.007297374
0.000488609,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973687.67,8.85E-12,299791258.8,0.007297382
0.000476607,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973676.7,8.85E-12,299790959,0.007297389
0.000464603,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973665.73,8.85E-12,299790659.2,0.007297396
0.0004526,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973654.75,8.85E-12,299790359.5,0.007297404
0.000440597,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973643.78,8.85E-12,299790059.7,0.007297411
0.000428593,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973632.8,8.85E-12,299789759.9,0.007297418
0.00041659,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973621.83,8.85E-12,299789460.1,0.007297426
0.000404586,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973610.86,8.85E-12,299789160.3,0.007297433
0.000392582,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973599.88,8.85E-12,299788860.5,0.00729744
0.000380578,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973588.91,8.85E-12,299788560.7,0.007297447
0.000368574,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973577.94,8.85E-12,299788260.9,0.007297455
0.000356569,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973566.96,8.85E-12,299787961.1,0.007297462
0.000344565,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973555.99,8.85E-12,299787661.3,0.007297469
0.00033256,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973545.02,8.85E-12,299787361.5,0.007297477
0.000320555,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973534.04,8.85E-12,299787061.7,0.007297484
0.00030855,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973523.07,8.85E-12,299786761.9,0.007297491
0.000296545,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973512.09,8.85E-12,299786462.2,0.007297499
0.00028454,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973501.12,8.85E-12,299786162.4,0.007297506
0.000272534,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973490.15,8.85E-12,299785862.6,0.007297513
0.000260529,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973479.17,8.85E-12,299785562.8,0.00729752
0.000248523,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973468.2,8.85E-12,299785263,0.007297528
0.000236517,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973457.23,8.85E-12,299784963.2,0.007297535
0.000224511,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973446.25,8.85E-12,299784663.4,0.007297542
0.000212505,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973435.28,8.85E-12,299784363.6,0.00729755
0.000200499,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973424.3,8.85E-12,299784063.8,0.007297557
0.000188493,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973413.33,8.85E-12,299783764,0.007297564
0.000176486,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973402.36,8.85E-12,299783464.2,0.007297571
0.000164479,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973391.38,8.85E-12,299783164.4,0.007297579
0.000152472,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973380.41,8.85E-12,299782864.6,0.007297586
0.000139265,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973368.34,8.85E-12,299782534.9,0.007297594
0.000138064,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973367.24,8.85E-12,299782504.9,0.007297595
0.000136863,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973366.14,8.85E-12,299782474.9,0.007297596
0.000135663,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973365.05,8.85E-12,299782444.9,0.007297596
0.000134462,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973363.95,8.85E-12,299782415,0.007297597
0.000133261,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973362.85,8.85E-12,299782385,0.007297598
0.00013206,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973361.75,8.85E-12,299782355,0.007297598
0.00013086,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973360.66,8.85E-12,299782325,0.007297599
0.000129659,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973359.56,8.85E-12,299782295,0.0072976
0.000128458,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973358.46,8.85E-12,299782265.1,0.007297601
0.000127258,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973357.36,8.85E-12,299782235.1,0.007297601
0.000126057,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973356.27,8.85E-12,299782205.1,0.007297602
0.000124856,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973355.17,8.85E-12,299782175.1,0.007297603
0.000123655,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973354.07,8.85E-12,299782145.2,0.007297604
0.000122455,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973352.98,8.85E-12,299782115.2,0.007297604
0.000121254,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973351.88,8.85E-12,299782085.2,0.007297605
0.000120053,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973350.78,8.85E-12,299782055.2,0.007297606
0.000118852,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973349.68,8.85E-12,299782025.2,0.007297607
0.000117652,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973348.59,8.85E-12,299781995.3,0.007297607
0.000116451,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973347.49,8.85E-12,299781965.3,0.007297608
0.00011525,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973346.39,8.85E-12,299781935.3,0.007297609
0.00011405,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973345.29,8.85E-12,299781905.3,0.007297609
0.000112849,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973344.2,8.85E-12,299781875.3,0.00729761
0.000111648,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973343.1,8.85E-12,299781845.4,0.007297611
0.000110447,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973342,8.85E-12,299781815.4,0.007297612
0.000109247,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973340.9,8.85E-12,299781785.4,0.007297612
0.000108046,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973339.81,8.85E-12,299781755.4,0.007297613
0.000106845,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973338.71,8.85E-12,299781725.5,0.007297614
0.000105644,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973337.61,8.85E-12,299781695.5,0.007297615
0.000104444,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973336.52,8.85E-12,299781665.5,0.007297615
0.000103243,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973335.42,8.85E-12,299781635.5,0.007297616
0.000102042,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973334.32,8.85E-12,299781605.5,0.007297617
0.000100841,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973333.22,8.85E-12,299781575.6,0.007297617
9.96E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973332.13,8.85E-12,299781545.6,0.007297618
9.84E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973331.03,8.85E-12,299781515.6,0.007297619
9.72E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973329.93,8.85E-12,299781485.6,0.00729762
9.60E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973328.83,8.85E-12,299781455.7,0.00729762
9.48E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973327.74,8.85E-12,299781425.7,0.007297621
9.36E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973326.64,8.85E-12,299781395.7,0.007297622
9.24E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973325.54,8.85E-12,299781365.7,0.007297623
9.12E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973324.44,8.85E-12,299781335.7,0.007297623
9.00E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973323.35,8.85E-12,299781305.8,0.007297624
8.88E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973322.25,8.85E-12,299781275.8,0.007297625
8.76E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973321.15,8.85E-12,299781245.8,0.007297625
8.64E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973320.06,8.85E-12,299781215.8,0.007297626
8.52E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973318.96,8.85E-12,299781185.8,0.007297627
8.40E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973317.86,8.85E-12,299781155.9,0.007297628
8.28E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973316.76,8.85E-12,299781125.9,0.007297628
8.16E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973315.67,8.85E-12,299781095.9,0.007297629
8.04E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973314.57,8.85E-12,299781065.9,0.00729763
7.92E-05,1.60E-19,6.63E-34,9.11E-31,8.41E-16,10973313.47,8.85E-12,299781036,0.007297631
